feature_name,train_missing_rate,train_n_unique,static_status,duplicate_of,family,ALL,h1,h2,h3,best_importance,selected,selection_reason
cross_branch_penetration_to_origin,0.0,65,PASS_STATIC,,sku_cross_branch,-5.7526881726444046e-05,1.4463545927823063e-05,-0.0004918618662264063,-2.857768958364204e-05,1.4463545927823063e-05,False,NOT_SELECTED
size_branch_lag_1,8.529629456387454e-05,7755,PASS_STATIC,,size_branch,0.0031263699431287595,0.002643725437257327,-0.002874699632302802,0.0029759607120550813,0.0031263699431287595,True,PERMUTATION_IMPORTANCE
size_branch_lag_2,0.01712437758926991,7475,PASS_STATIC,,size_branch,0.0011194279416002484,0.0005309900484052887,0.006754737023765944,-0.000528015276077265,0.006754737023765944,True,PERMUTATION_IMPORTANCE
size_branch_lag_3,0.03881898567113968,7165,PASS_STATIC,,size_branch,-0.0008777499858283466,-0.0002761101786590281,-0.0021128640911596275,-0.0004027348582128498,-0.0002761101786590281,False,NOT_SELECTED
size_branch_lag_6,0.13913293106500219,6137,PASS_STATIC,,size_branch,0.0009181373464086651,0.00010757304714348326,-0.0011175292981757678,0.0018831250329962579,0.0018831250329962579,True,PERMUTATION_IMPORTANCE
size_branch_lag_12,0.39570235078422145,4239,PASS_STATIC,,size_branch,0.001130102787299525,-0.00024190574784388463,0.0014302560716918933,0.0015347606253175439,0.0015347606253175439,True,PERMUTATION_IMPORTANCE
size_branch_roll_3_mean,2.47634403572539e-05,9518,PASS_STATIC,,size_branch,0.0006344891449967527,0.0005480912835386098,0.0015773498132711783,0.0006177946160547121,0.0015773498132711783,True,PERMUTATION_IMPORTANCE
size_branch_roll_6_mean,2.47634403572539e-05,10470,PASS_STATIC,,size_branch,-0.0006983992865552402,-7.615645795472359e-05,-0.0051703481698990306,0.0003648472346325926,0.0003648472346325926,False,NOT_SELECTED
size_branch_roll_12_mean,2.47634403572539e-05,11463,PASS_STATIC,,size_branch,-0.003087167454466133,0.0024494576518805933,-0.06069385323666432,0.00622453977624704,0.00622453977624704,True,PERMUTATION_IMPORTANCE
size_branch_target_available_sku_count_lag_1,0.0,301,PASS_STATIC,,size_branch,0.010990293122047912,0.00874608318244896,0.04026683570955969,0.006848833450735503,0.04026683570955969,True,PERMUTATION_IMPORTANCE
size_branch_positive_sku_count_lag_1,0.0,119,PASS_STATIC,,size_branch,-0.0012906510620550593,0.004664804833153402,-0.015554325904324928,0.0005544877256103975,0.004664804833153402,True,PERMUTATION_IMPORTANCE
horizon,0.0,3,PASS_STATIC,,calendar,0.004483287766438027,0.0,0.0,0.0,0.004483287766438027,True,MANDATORY_FOR_POOLED
target_month_num,0.0,12,PASS_STATIC,,calendar,0.0009462622210270055,0.0,0.0,0.0,0.0009462622210270055,True,PERMUTATION_IMPORTANCE
target_quarter,0.0,4,PASS_STATIC,,calendar,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_year,0.0,2,PASS_STATIC,,calendar,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_days_in_month,0.0,4,PASS_STATIC,,calendar,-5.484623007001588e-05,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_month_sin,0.0,11,PASS_STATIC,,calendar,0.00432355008630203,0.0,0.0,0.0,0.00432355008630203,True,PERMUTATION_IMPORTANCE
target_month_cos,0.0,11,PASS_STATIC,,calendar,-8.816739691519526e-05,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_weekday_count,0.0,4,PASS_STATIC,,calendar,-0.0007198882986204636,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_public_holiday_event_count,0.0,3,PASS_STATIC,,calendar,0.0026078453140984115,0.0,0.0,0.0,0.0026078453140984115,True,PERMUTATION_IMPORTANCE
target_statutory_holiday_nominal_days,0.0,5,PASS_STATIC,,calendar,-0.0002021646409263722,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_working_days_proxy,0.0,7,PASS_STATIC,,calendar,0.00808269145165097,0.0,0.0,0.0,0.00808269145165097,True,PERMUTATION_IMPORTANCE
target_lunar_month_mid,0.0,12,PASS_STATIC,,calendar,0.00223740877805656,0.0,0.0,0.0,0.00223740877805656,True,PERMUTATION_IMPORTANCE
target_lunar_month_mid_is_leap,0.0,2,PASS_STATIC,,calendar,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_lunar_month_sin,0.0,11,PASS_STATIC,,calendar,0.00010598895834190714,0.0,0.0,0.0,0.00010598895834190714,False,NOT_SELECTED
target_lunar_month_cos,0.0,11,PASS_STATIC,,calendar,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_tet_day_of_month,0.0,3,PASS_STATIC,,calendar,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_days_to_next_tet_from_midmonth,0.0,23,PASS_STATIC,,calendar,0.002976901100418594,0.0,0.0,0.0,0.002976901100418594,True,PERMUTATION_IMPORTANCE
target_days_since_prev_tet_from_midmonth,0.0,23,PASS_STATIC,,calendar,0.0031422345147420483,0.0,0.0,0.0,0.0031422345147420483,True,PERMUTATION_IMPORTANCE
target_is_tet_month,0.0,2,PASS_STATIC,,calendar,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
target_is_pre_tet_month,0.0,1,DROP_CONSTANT,,,,,,,,False,
target_is_post_tet_month,0.0,2,PASS_STATIC,,calendar,-1.9703595286024722e-05,0.0,0.0,0.0,0.0,False,NOT_SELECTED
