family,removed_feature_count,full_wape,ablated_wape,delta_wape_ablated_minus_full,h1_delta_wape,h2_delta_wape,h3_delta_wape
pair_history,33,1.1250538847254414,1.134648063439985,0.009594178714543489,0.024867503604423913,-0.1198895333177381,0.02756633237898054
demand_state,2,1.1250538847254414,1.122971887615525,-0.0020819971099164114,0.003498114344193559,-0.014127753081992545,-0.004574743818439142
sku_cross_branch,17,1.1250538847254414,1.06763284324756,-0.05742104147788152,-0.01920245580835156,-0.27834045185719436,-0.03893353849266412
size_branch,11,1.1250538847254414,1.1245147934579423,-0.000539091267499181,0.009330151198152059,-0.0539822033658397,0.003308749190460425
calendar,20,1.1250538847254414,1.1842873665271794,0.05923348180173793,0.017885827936775067,0.5089037296509908,-0.014888834409163998
