level,policy,n_rows,actual_sum_m2,forecast_sum_m2,wape,mae,bias_m2,bias_ratio,underforecast_m2,overforecast_m2,added_m2_vs_raw,changed_row_rate,raw_pred_between_0_and_1_rate
PAIR_MONTH,raw,420846,17371930.250000004,14037402.20460531,1.0097204563712918,41.67983856346562,-3334528.0453946944,-0.19194919605405933,10437660.692737473,7103132.647342775,0.0,0.0,0.11539850681722055
PAIR_MONTH,round_nearest_1m2,420846,17371930.250000004,14034351.0,1.0095587028965876,41.67316160780903,-3337579.249999999,-0.19212483598361202,10437781.31,7100202.060000002,-3051.2046053056633,1.0,0.11539850681722055
PAIR_MONTH,ceil_1m2,420846,17371930.250000004,14252016.0,1.0168951426684434,41.97599951050979,-3119914.2499999995,-0.17959514026945847,10392672.87,7272758.619999999,214613.79539469432,1.0,0.11539850681722055
