forecast_origin,demand_event,n_rows,actual_sum_m2,forecast_sum_m2,wape,mae,bias_m2,bias_ratio,underforecast_m2,overforecast_m2
2025-01-01,actual_zero,12938,0.0,284560.57124853006,,21.99416998365513,284560.57124853006,,0.0,284560.57124853006
2025-01-01,first_positive_known_pair,7,129.46,71.83458626903692,0.8463523319913914,15.65268184280079,-57.62541373096308,-0.44512137904343485,83.59709331528431,25.97167958432123
2025-01-01,ongoing_positive,4694,591768.6900000001,368458.34807796223,0.7146107696325305,90.09038751711427,-223310.34192203777,-0.3773608602409123,323097.31046368607,99786.9685416483
2025-01-01,reactivation_gap_1_2,2969,332039.66000000003,100258.91591234622,0.8245776372466891,92.21706915291142,-231780.74408765376,-0.698051383643911,252786.6112013239,21005.867113670127
2025-01-01,reactivation_gap_3_5,521,57073.32,6264.615014168335,0.9163401604677556,100.38114243229859,-50808.70498583167,-0.8902356650328327,51553.64009652962,744.9351106979502
2025-01-01,reactivation_gap_6plus,174,18302.93,1374.6353030489706,0.9399354878524459,98.87111171654693,-16928.29469695103,-0.9248953417267635,17065.9340678151,137.63937086406756
2025-01-01,spike_2x_3x,392,129520.22,27061.769536867592,0.7927108471776719,261.9185799052001,-102458.45046313241,-0.7910614301236704,102565.26689298541,106.81642985300888
2025-01-01,spike_3x_plus,506,216405.58999999997,28037.832367448787,0.8707869895148934,372.4173364235065,-188367.7576325512,-0.8704385022242319,188405.46493142273,37.70729887154653
2025-02-01,actual_zero,13131,0.0,337872.43008314923,,25.73089864314593,337872.43008314923,,0.0,337872.43008314923
2025-02-01,first_positive_known_pair,9,226.84,46.7996155028228,0.9051229216865527,22.81312039504196,-180.04038449717717,-0.7936888754063532,192.6792340262774,12.638849529100229
2025-02-01,ongoing_positive,4662,692441.39,455856.35536146926,0.6509666869824666,96.68731822776364,-236585.0346385307,-0.34166795638621583,343670.6561081824,107085.62146965167
2025-02-01,reactivation_gap_1_2,3566,291690.29,110695.89855334669,0.7846932000163348,64.18603114800692,-180994.3914466533,-0.6205019421340809,204940.88926022302,23946.497813569717
2025-02-01,reactivation_gap_3_5,772,57582.159999999996,8971.090687631131,0.8775721243846973,65.45660424593204,-48611.06931236887,-0.8442036441906464,49571.783895114204,960.714582745337
2025-02-01,reactivation_gap_6plus,234,14228.61,1212.9976836959604,0.9348454936246269,56.84423905573634,-13015.612316304041,-0.9147493898774399,13158.582127673171,142.9698113691321
2025-02-01,spike_2x_3x,508,166331.95,44243.540087507245,0.7450095501882472,243.9348252980985,-122088.40991249276,-0.7340045608344804,123003.6505819634,915.2406694706428
2025-02-01,spike_3x_plus,808,303738.51,55597.42448615146,0.8237346436634743,309.65338279916415,-248141.08551384855,-0.8169562875443372,249170.50940778657,1029.4238939380443
2025-03-01,actual_zero,14818,0.0,444270.6024367566,,29.981819573272816,444270.6024367566,,0.0,444270.6024367566
2025-03-01,first_positive_known_pair,15,637.1,209.26861164103826,0.7176649817252406,30.481623990476724,-427.83138835896176,-0.6715294119588161,442.52787410805627,14.69648574909456
2025-03-01,ongoing_positive,6667,835181.05,607919.0598533313,0.6561900618538173,82.20151565301278,-227261.9901466688,-0.27211104723540935,387649.74750265246,160387.75735598366
2025-03-01,reactivation_gap_1_2,2066,189210.39,72704.55654375677,0.7803841154905982,71.46988520899377,-116505.83345624324,-0.6157475467189896,132081.30814901218,15575.474692768934
2025-03-01,reactivation_gap_3_5,1003,59704.81999999999,13832.083847760465,0.857544970132939,51.046428797300585,-45872.73615223954,-0.7683255079278279,48536.15211796601,2663.41596572648
2025-03-01,reactivation_gap_6plus,227,13091.599999999999,1387.6269753938395,0.9184270615298847,52.96775206486625,-11703.973024606159,-0.8940063112687647,11863.8263716654,159.85334705923862
2025-03-01,spike_2x_3x,782,200527.88,62057.38810890699,0.7024148428976285,180.11989683733313,-138470.49189109303,-0.6905298749036445,139662.12560894375,1191.6337178507447
2025-03-01,spike_3x_plus,1195,328751.98,74699.34610558143,0.7857612449276906,216.16783688472236,-254052.63389441857,-0.7727790229413024,256186.59948583087,2133.965591412324
2025-04-01,actual_zero,17294,0.0,577841.244481287,,33.41281626467486,577841.244481287,,0.0,577841.244481287
2025-04-01,first_positive_known_pair,8,406.6,120.59445211910595,0.7634060969234335,38.80011487613351,-286.0055478808941,-0.7034076435831138,298.2032334449811,12.197685564087012
2025-04-01,ongoing_positive,8108,880010.19,768090.558576389,0.6949978773337646,75.43231550099689,-111919.63142361106,-0.12717992665927091,361762.4227528469,249842.7913292359
2025-04-01,reactivation_gap_1_2,1734,166153.96,59314.89092012425,0.7911843173182874,75.81223034159748,-106839.06907987574,-0.6430124751758896,119148.7382461029,12309.669166227159
2025-04-01,reactivation_gap_3_5,757,51153.20999999999,10436.088143159901,0.8669506452543984,58.582970166887364,-40717.1218568401,-0.7959837096604516,42532.21513658692,1815.0932797468167
2025-04-01,reactivation_gap_6plus,231,9280.7,1105.0667219515458,0.8980104917486371,36.07864056611072,-8175.633278048454,-0.8809285159576813,8254.899624410016,79.2663463615623
2025-04-01,spike_2x_3x,826,193372.96000000002,65201.340519123514,0.6767475043338435,158.43180155647477,-128171.61948087648,-0.6628207970797803,129518.14378326232,1346.5243023858332
2025-04-01,spike_3x_plus,1117,258404.22,63709.63818168265,0.7638327241246924,176.70331180654998,-194694.58181831735,-0.7534496991508782,196036.0905531168,1341.5087347994747
2025-05-01,actual_zero,19512,0.0,457677.4385350007,,23.456203286951656,457677.4385350007,,0.0,457677.4385350007
2025-05-01,first_positive_known_pair,11,300.26,52.00365678769856,0.8542207145402373,23.317119249804694,-248.25634321230146,-0.8268045800716095,252.37232748007656,4.1159842677750955
2025-05-01,ongoing_positive,8867,910511.01,711270.9001464524,0.6568514925415919,67.44902626525909,-199240.1098535477,-0.21882229612308335,398655.31287379994,199415.2030202523
2025-05-01,reactivation_gap_1_2,2356,224829.15000000002,77102.42749239325,0.7970492168773443,76.06107722355645,-147726.72250760673,-0.6570621403301428,163463.31022315286,15736.587715546135
2025-05-01,reactivation_gap_3_5,550,40860.78,5774.900768012205,0.8893452021193565,66.07152481428102,-35085.8792319878,-0.8586688563455666,35712.60893992118,626.7297079333816
2025-05-01,reactivation_gap_6plus,269,13936.779999999999,910.9103922149934,0.9455372045400812,48.98789591632011,-13025.869607785007,-0.934639824104636,13101.80680463756,75.93719685255233
2025-05-01,spike_2x_3x,838,166739.94,48093.7900629731,0.719017681623135,143.06559080284083,-118646.1499370269,-0.7115640675954837,119267.55751490378,621.4075778768654
