scope,feature_name,importance_wape_mean,importance_wape_std
ALL,tile_size_code,0.00185730231249992,0.0004633615713622863
ALL,months_since_first_positive,0.00040048689773997115,0.00021096814639320893
ALL,months_since_last_positive,0.00014072018626709593,4.34150806978284e-05
ALL,pair_lag_1,0.020552236456034212,0.0005249325996827814
ALL,pair_lag_2,0.0013469967340314914,7.918365288672735e-05
ALL,pair_lag_3,1.4023201621138348e-05,3.433503487670908e-05
ALL,pair_lag_6,0.000933113003831143,3.563143902918231e-05
ALL,pair_lag_12,0.0006178979059200396,9.276059459295549e-05
ALL,pair_roll_3_mean,0.02361448173155145,0.0006732027050529998
ALL,pair_roll_3_sum,0.008183718828966735,0.0004310066778913102
ALL,pair_roll_3_std,0.0025334634274886136,0.00021097298895311756
ALL,pair_roll_3_target_available_count,0.0,0.0
ALL,pair_roll_3_positive_count,0.00020825063943263888,0.0001181333020759956
ALL,pair_roll_3_coverage,0.0,0.0
ALL,pair_roll_6_mean,0.02143332546982224,0.0005742509999133727
ALL,pair_roll_6_sum,-0.0012090542054379316,0.000247646747621566
ALL,pair_roll_6_std,-0.00013605028745855563,9.123634339536224e-05
ALL,pair_roll_6_target_available_count,0.0,0.0
ALL,pair_roll_6_positive_count,-0.0019261930404139704,2.2301197692753405e-05
ALL,pair_roll_6_coverage,0.0,0.0
ALL,pair_roll_12_mean,-0.0063559751095730865,4.6676565507497436e-05
ALL,pair_roll_12_sum,0.008176326438914971,0.0005348657011123858
ALL,pair_roll_12_std,-0.0016366881666938227,8.626308176529207e-05
ALL,pair_roll_12_target_available_count,-1.3445575738679771e-05,1.922636859219562e-05
ALL,pair_roll_12_positive_count,0.00045936414238412215,0.00019282089930638957
ALL,pair_roll_12_coverage,0.0,0.0
ALL,pair_history_length_months,-1.8710515397146743e-05,6.236838465789596e-06
ALL,pair_target_available_count_to_origin,-0.000256907181163224,0.0001022742679946953
ALL,pair_positive_count_to_origin,-0.00433030523614697,0.00018387995314195216
ALL,pair_positive_rate_to_origin,0.00562853807977437,8.528161302512327e-05
ALL,pair_last_positive_m2_to_origin,-0.00022731269444753455,0.0001504489948808141
ALL,pair_mean_positive_m2_to_origin,-0.0033486496681516265,0.0001291226489052999
ALL,pair_peak_positive_m2_to_origin,-3.7508145556142125e-06,0.000222853526049116
ALL,pair_peak_share_to_origin,-0.003453958414067926,0.00017778771459131537
ALL,pair_adi_target_available_to_origin,-0.00017932684549082367,0.00019337691566256865
ALL,pair_cv2_positive_to_origin,-0.002981404296030443,0.002314668349573057
ALL,sku_global_lag_1,0.021027620084970167,0.0010326120355745871
ALL,sku_global_lag_2,7.94673261209633e-05,0.00027625478254977853
ALL,sku_global_lag_3,0.007764378299587538,0.00020206845626402625
ALL,sku_global_lag_6,-0.0005847881572861313,0.00012850862586322176
ALL,sku_global_lag_12,0.0008891833532365112,0.00035116939688983884
ALL,sku_global_roll_3_mean,0.027978249259556942,0.001128987797593184
ALL,sku_global_roll_3_sum,-0.0014782993591675453,0.0001860772333550642
ALL,sku_global_roll_6_mean,0.004282796403298095,0.0002753914219661979
ALL,sku_global_roll_6_sum,0.0010155407631100566,5.375155434439449e-05
ALL,sku_global_roll_12_mean,0.0017053969708312744,0.00021406261880130284
ALL,sku_global_roll_12_sum,-0.003914716307639843,0.00028011144579465075
ALL,sku_global_positive_rate_12m,0.002658690785072304,0.00035816591762927175
ALL,sku_target_available_branch_count_lag_1,-0.003030510430523048,0.0007019975788185029
ALL,sku_positive_branch_count_lag_1,-0.0011993120079675235,0.0010686223481898294
ALL,sku_known_branch_count_to_origin,0.008823152710621396,0.000644816052456032
ALL,sku_ever_positive_branch_count_to_origin,0.0014327394060132947,3.575653001008927e-05
ALL,cross_branch_penetration_to_origin,-5.7526881726444046e-05,2.6946667120997247e-05
ALL,size_branch_lag_1,0.0031263699431287595,8.197025696610183e-05
ALL,size_branch_lag_2,0.0011194279416002484,6.6250869629636e-05
ALL,size_branch_lag_3,-0.0008777499858283466,0.0002030427620096642
ALL,size_branch_lag_6,0.0009181373464086651,3.847584126637216e-06
ALL,size_branch_lag_12,0.001130102787299525,0.0002459635652237724
ALL,size_branch_roll_3_mean,0.0006344891449967527,0.00019835566790127324
ALL,size_branch_roll_6_mean,-0.0006983992865552402,1.9200230400251428e-05
ALL,size_branch_roll_12_mean,-0.003087167454466133,0.0007986663481434064
ALL,size_branch_target_available_sku_count_lag_1,0.010990293122047912,0.00011169933981081126
ALL,size_branch_positive_sku_count_lag_1,-0.0012906510620550593,7.532270133647767e-05
ALL,horizon,0.004483287766438027,0.00011819626316489362
