forecast_origin,horizon,behavior_segment,calibration_n_rows,evaluation_n_rows,selection_scope,chosen_expert,calibration_selection_wape,evaluation_segment_wape
2025-06-01,2,regular,3335,1819,CALIBRATION_SEGMENT,hurdle,0.812421878201114,0.9582504606272841
2025-06-01,2,intermittent,17267,7662,CALIBRATION_SEGMENT,hurdle,0.9529526741154918,0.9815083485955843
2025-06-01,2,very_sparse,6237,2414,CALIBRATION_SEGMENT,hurdle,1.0051194712561202,1.0031291528142028
2025-06-01,3,regular,3104,1839,CALIBRATION_SEGMENT,hurdle,0.7855790950217967,0.9994639984109263
2025-06-01,3,intermittent,15902,7655,CALIBRATION_SEGMENT,hurdle,0.959093156025016,0.993448549535965
2025-06-01,3,very_sparse,5166,2404,CALIBRATION_SEGMENT,hurdle,1.0445999926248895,1.0415004578513052
2025-07-01,1,regular,4759,1771,CALIBRATION_SEGMENT,hurdle,0.7489477473783027,0.7563197045001289
2025-07-01,1,intermittent,20874,8349,CALIBRATION_SEGMENT,hurdle,0.9422130771016018,0.922753637280349
2025-07-01,1,very_sparse,7490,2521,CALIBRATION_SEGMENT,hurdle,1.0308200931034799,0.950734019600323
2025-07-01,2,regular,3964,1774,CALIBRATION_SEGMENT,hurdle,0.8083834329922519,0.9602452629188142
2025-07-01,2,intermittent,18910,8350,CALIBRATION_SEGMENT,hurdle,0.9708560383404878,0.9815008556712707
2025-07-01,2,very_sparse,7250,2512,CALIBRATION_SEGMENT,hurdle,1.0106154232080091,1.0066971066799508
2025-07-01,3,regular,3337,1788,CALIBRATION_SEGMENT,hurdle,0.8220891277131678,0.9684104791909551
2025-07-01,3,intermittent,17253,8390,CALIBRATION_SEGMENT,hurdle,0.9860871710480308,0.9833501083144104
2025-07-01,3,very_sparse,6221,2519,CALIBRATION_SEGMENT,hurdle,1.0293945105446751,0.9958009630588965
2025-08-01,1,regular,5125,1777,CALIBRATION_SEGMENT,hurdle,0.7281237485944294,0.8764207747823811
2025-08-01,1,intermittent,22978,9015,CALIBRATION_SEGMENT,hurdle,0.8973224684640946,1.0054178874281923
2025-08-01,1,very_sparse,7636,2395,CALIBRATION_SEGMENT,hurdle,0.9667115559349395,1.0693053992950499
2025-08-01,2,regular,4759,1798,CALIBRATION_SEGMENT,hurdle,0.811600810185881,0.8185729550605662
2025-08-01,2,intermittent,20869,9060,CALIBRATION_SEGMENT,hurdle,0.9395906593293015,1.0336724378163116
2025-08-01,2,very_sparse,7473,2392,CALIBRATION_SEGMENT,hurdle,1.017844018303402,1.0474628671638555
2025-08-01,3,regular,3959,1801,CALIBRATION_SEGMENT,hurdle,0.8203220651178463,0.8501184512539668
2025-08-01,3,intermittent,18907,9068,CALIBRATION_SEGMENT,hurdle,0.9710638700691169,0.9989495464399399
2025-08-01,3,very_sparse,7244,2393,CALIBRATION_SEGMENT,hurdle,1.0553228160981984,0.9811943559996108
2025-09-01,1,regular,5375,1563,CALIBRATION_SEGMENT,hurdle,0.7749215115566452,0.7634640105723289
2025-09-01,1,intermittent,25031,9738,CALIBRATION_SEGMENT,hurdle,0.9291943344444404,0.9573825631637252
2025-09-01,1,very_sparse,7329,2330,CALIBRATION_SEGMENT,hurdle,0.9792177460912633,1.0007793024872076
2025-09-01,2,regular,5127,1561,CALIBRATION_SEGMENT,hurdle,0.8052455757903086,0.7755578833048259
2025-09-01,2,intermittent,22981,9751,CALIBRATION_SEGMENT,hurdle,0.9463455183876993,0.9686785137727842
2025-09-01,2,very_sparse,7612,2343,CALIBRATION_SEGMENT,hurdle,0.9944141058454647,0.9583679005158686
2025-09-01,3,regular,4772,1581,CALIBRATION_SEGMENT,hurdle,0.8747152470996741,0.7393737359501574
2025-09-01,3,intermittent,20860,9750,CALIBRATION_SEGMENT,hurdle,0.9797709673996603,0.9063029645931746
2025-09-01,3,very_sparse,7473,2342,CALIBRATION_SEGMENT,hurdle,1.042603013395655,0.9554915342794424
2025-10-01,1,regular,5111,1351,CALIBRATION_SEGMENT,hurdle,0.7869406839059924,0.7270345449356692
2025-10-01,1,intermittent,27102,10360,CALIBRATION_SEGMENT,hurdle,0.9489737322158505,0.9260020680927005
2025-10-01,1,very_sparse,7246,2511,CALIBRATION_SEGMENT,hurdle,0.9691415768604146,0.9871360095503731
2025-10-01,2,regular,5391,1370,CALIBRATION_SEGMENT,hurdle,0.8129891179156875,0.7033871111175474
2025-10-01,2,intermittent,25072,10366,CALIBRATION_SEGMENT,hurdle,0.9605751372277417,0.901824217721133
2025-10-01,2,very_sparse,7318,2506,CALIBRATION_SEGMENT,hurdle,0.9887888931453763,0.9295959655986262
2025-10-01,3,regular,5153,1357,CALIBRATION_SEGMENT,hurdle,0.8308104190683581,0.7369223560744341
