model,n_origins,mean_origin_wape,median_origin_wape,std_origin_wape,mean_abs_bias_ratio,max_abs_bias_ratio,underforecast_origin_rate,origin_wins,pair_wape_3m,base_sku_wape_3m
behavior_gated,12,0.9128681511857458,0.9204057803660256,0.032967350368113074,0.6001403714073433,0.7708510409668304,1.0,2,0.7906237759946318,0.6519062506250587
hurdle,12,0.9143942061193203,0.9207293877752404,0.03371189288916651,0.6199437106794573,0.8706116407111831,1.0,10,0.7969846579809715,0.6674972842893695
lightgbm_tweedie,12,1.0118596038520082,1.0003654499898234,0.05827841440998676,0.19562565183672923,0.39335092555155887,0.9166666666666666,0,0.7777062747967908,0.44757549114750866
moving_average_3,12,1.1797730075362798,1.1987902296341657,0.11944275411577923,0.23146399022292094,0.5217122839098135,0.3333333333333333,0,0.9477468294485235,0.5218091791055155
naive_1,12,1.2619035120271793,1.2244737234305627,0.14790384755938715,0.2712842293607028,0.5573572437821062,0.4166666666666667,0,1.0989532537136504,0.5794081274742241
seasonal_naive_12,12,1.4843274086687053,1.5461900264450275,0.1824625280897319,0.24817050719889042,0.8341659915268494,0.75,0,1.4532728189709074,1.1935769157810532
tsb,12,1.9159573835364065,1.933255143861798,0.3103750430643489,1.1291194909040743,1.736655651532107,0.0,0,1.6719002012722417,1.244453022298936
croston_sba,12,2.254266216355662,2.3056957582265873,0.48562513061843826,1.4608544411920634,2.175289593284125,0.0,0,2.0195311391112645,1.584063652875711
