forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-01-01,naive_1,PAIR,7263,0.9354085597120716,170.6088310615448,-523046.04,-0.3948423304620028,1324695.96,801649.9199999999
2025-01-01,seasonal_naive_12,PAIR,7263,1.1085860939743486,202.19461930331818,-1107397.2,-0.8359632953058904,1324695.96,217298.76
2025-01-01,moving_average_3,PAIR,7263,0.8926118714818153,162.80315847445956,-58294.30000000002,-0.044005795865792494,1324695.96,1266401.66
2025-01-01,croston_sba,PAIR,7263,1.3713768115170781,250.1249238406106,1054001.980765501,0.7956557675057008,1324695.96,2378697.940765501
2025-01-01,tsb,PAIR,7263,1.2495556605015377,227.90600788400363,902617.1823923148,0.6813768665772294,1324695.96,2227313.142392315
2025-01-01,lightgbm_tweedie,PAIR,7263,0.8316833001320224,151.69041824099648,-524216.5477053687,-0.3957259352594151,1324695.96,800479.4122946314
2025-01-01,hurdle,PAIR,7263,0.8234250581089148,150.18420044604773,-776093.1629046692,-0.5858651240279085,1324695.96,548602.7970953308
2025-01-01,behavior_gated,PAIR,7263,0.8248922990284869,150.4518099901072,-776342.1667629454,-0.5860530946006247,1324695.96,548353.7932370547
2025-01-01,naive_1,BASE_SKU,769,0.6068373908228724,1045.3511573472042,-523046.0400000001,-0.39484233046200284,1324695.96,801649.92
2025-01-01,seasonal_naive_12,BASE_SKU,769,1.0187736663739806,1754.9614564369308,-1107397.2,-0.8359632953058904,1324695.96,217298.75999999998
2025-01-01,moving_average_3,BASE_SKU,769,0.5961239135959923,1026.8958907672302,-58294.30000000003,-0.04400579586579251,1324695.96,1266401.66
2025-01-01,croston_sba,BASE_SKU,769,1.0439571439808648,1798.3430572751492,1054001.980765501,0.7956557675057008,1324695.96,2378697.940765501
2025-01-01,tsb,BASE_SKU,769,0.9337068818935694,1608.423581623678,902617.1823923148,0.6813768665772294,1324695.96,2227313.1423923145
2025-01-01,lightgbm_tweedie,BASE_SKU,769,0.625137856186687,1076.875933073557,-524216.5477053688,-0.39572593525941513,1324695.96,800479.4122946314
