horizon,target_month,n_pairs,n_base_sku,n_branch,forecast_sum_m2,forecast_mean_m2,mean_p_positive,mean_positive_quantity_m2
1,2026-07-01,17253,1447,58,469830.32362036256,27.2318045337253,0.2993773401623863,65.86745683068045
2,2026-08-01,17253,1447,58,396152.26962784835,22.961355684683728,0.2629215285641434,62.67124333768746
3,2026-09-01,17253,1447,58,318297.385403727,18.448813852879326,0.236268583265718,57.685761931318204
