model,level,transition,n_units,revision_mae_m2,revision_ratio_vs_old_forecast,signed_revision_m2
lightgbm_reference,PAIR,H2_TO_H1,125612,14.05691161913322,0.4127580530329183,376769.43865176133
soft_two_part_expected,PAIR,H2_TO_H1,125612,14.803455917213451,0.427257286115049,424221.25348640815
lightgbm_reference,BASE_SKU,H2_TO_H1,11625,111.72763147170456,0.3036183838453366,376769.4386517614
soft_two_part_expected,BASE_SKU,H2_TO_H1,11625,119.29635494624581,0.3186510603850983,424221.25348640815
lightgbm_reference,PAIR,H3_TO_H2,125295,10.704455765708017,0.3613526970040952,108060.00993973078
soft_two_part_expected,PAIR,H3_TO_H2,125295,10.841823991130248,0.35886330469572547,57224.0135037487
lightgbm_reference,BASE_SKU,H3_TO_H2,11622,84.84969885689762,0.26568323126272475,108060.0099397308
soft_two_part_expected,BASE_SKU,H3_TO_H2,11622,86.36489607134534,0.26516187722695644,57224.0135037487
