horizon,n_rows,actual_positive_rate,mean_p_positive,mean_p_on_actual_zero,mean_p_on_actual_positive,probability_brier,positive_quantity_wape_on_positive_actual,positive_quantity_bias_ratio_on_positive_actual
,420846,0.3713424863251641,0.35304687678997787,0.23628006499871007,0.5507251287639734,0.15917822966646386,0.7078260442243837,-0.14698594157292982
1.0,140425,0.3997222716752715,0.38363943058313893,0.23865369148258164,0.6013698806328864,0.15422037083502976,0.6912616375718339,-0.10851467776593712
2.0,140096,0.3683688328003655,0.3470800834823937,0.23592347565552804,0.5376770387402369,0.1609720401532357,0.7151824259429194,-0.15010924475658358
3.0,140325,0.34591127739176913,0.3283895777257669,0.23444394541007751,0.5060327557664662,0.16234873850273218,0.7200154769111611,-0.1901991052900456
