model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
lightgbm_reference,PAIR,135448,0.7777062747967908,95.03528309767701,-3120186.376867809,-0.18851185624540298,16551671.809999999,13431485.433132194
soft_two_part_expected,PAIR,135448,0.7688392220320148,93.95173408045619,-2848378.964442926,-0.17209010649437992,16551671.809999999,13703292.845557077
lightgbm_reference,BASE_SKU,12837,0.44757549114750866,577.0914263202558,-3120186.3768678084,-0.18851185624540295,16551671.809999999,13431485.433132192
soft_two_part_expected,BASE_SKU,12837,0.4404366558769656,567.8868100934363,-2848378.9644429265,-0.17209010649437995,16551671.809999999,13703292.845557073
lightgbm_reference,BRANCH,655,0.309997821623723,7833.560618825625,-3120186.3768678084,-0.18851185624540295,16551671.809999999,13431485.43313219
soft_two_part_expected,BRANCH,655,0.29133815626654214,7362.035951533282,-2848378.9644429265,-0.17209010649437995,16551671.809999999,13703292.845557075
lightgbm_reference,PORTFOLIO,12,0.1933249381192616,266654.244036548,-3120186.3768678084,-0.18851185624540295,16551671.809999999,13431485.433132192
soft_two_part_expected,PORTFOLIO,12,0.1850135358573273,255190.2771598457,-2848378.9644429265,-0.17209010649437995,16551671.809999999,13703292.845557073
