model,universe,horizon,segment,n_rows,wape,mae,bias,bias_ratio,zero_false_positive_rate,positive_wape
lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,420846,1.0097204563712923,41.67983856346562,-3334528.045394694,-0.19194919605405938,1.0,0.7291063103266173
lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,140425,0.9685268417566739,44.23377819828845,-980519.6136272848,-0.15288661956713973,1.0,0.7103266238031608
lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,140096,1.0220070326388455,41.27439145440654,-1111018.2830962988,-0.19636707710391993,1.0,0.7327051881405527
lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,140325,1.0464467093079688,39.528864360513474,-1242990.1486711104,-0.2344959869836812,1.0,0.7479867369242854
soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,420846,1.003091245508153,41.40619407420591,-3072697.672807958,-0.1768771592211498,1.0,0.7221921807427673
soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,140425,0.9568208878943739,43.69915329743881,-825239.8651002168,-0.12867476749442527,1.0,0.7004604490417716
soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,140096,1.0159021547108278,41.02784215157859,-1044974.1010195895,-0.18469408918694394,1.0,0.7277979578067996
soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,140325,1.0454002573154206,39.4893352965819,-1202483.706688152,-0.22685425458367298,1.0,0.7425021983770074
