model,horizon,n_rows,actual_zero_rows,zero_forecast_sum_m2,zero_forecast_mean_m2,zero_false_positive_rate,actual_positive_rows,positive_actual_sum_m2,positive_forecast_sum_m2,positive_wape,positive_bias_ratio,overall_wape,overall_bias_ratio
lightgbm_reference,,420846,264568,4874809.372251396,18.42554417862854,1.0,156278,17371930.25,9162592.83235391,0.7291063103266173,-0.47256334209873363,1.0097204563712923,-0.19194919605405938
soft_two_part_expected,,420846,264568,4879758.96039451,18.444252367612524,1.0,156278,17371930.25,9419473.616797531,0.7221921807427673,-0.4577762239865352,1.003091245508153,-0.1768771592211498
lightgbm_reference,1.0,140425,84294,1655935.4812281693,19.644760970272728,1.0,56131,6413377.549999999,3776922.455144546,0.7103266238031608,-0.41108683752065317,0.9685268417566739,-0.15288661956713973
soft_two_part_expected,1.0,140425,84294,1644136.2832454292,19.50478424615547,1.0,56131,6413377.549999999,3944001.4016543543,0.7004604490417716,-0.3850352063470279,0.9568208878943739,-0.12867476749442527
lightgbm_reference,2.0,140096,88489,1636830.5894831144,18.497560029869412,1.0,51607,5657864.34,2910015.4674205864,0.7327051881405527,-0.48566892160221253,1.0220070326388455,-0.19636707710391993
soft_two_part_expected,2.0,140096,88489,1630054.4618676384,18.42098409822281,1.0,51607,5657864.34,2982835.777112772,0.7277979578067996,-0.4727982860909718,1.0159021547108278,-0.18469408918694394
lightgbm_reference,3.0,140325,91785,1582043.3015401121,17.236403568558174,1.0,48540,5300688.359999999,2475654.909788778,0.7479867369242854,-0.5329559593673646,1.0464467093079688,-0.2344959869836812
soft_two_part_expected,3.0,140325,91785,1605568.2152814427,17.49270812530852,1.0,48540,5300688.359999999,2492636.4380304054,0.7425021983770074,-0.5297523135220866,1.0454002573154206,-0.22685425458367298
