model,universe,horizon,segment,n_rows,wape,mae,bias,bias_ratio,zero_false_positive_rate,positive_wape
naive_1,PRIMARY,,,44289,1.465437996142898,42.77866038971302,579286.99,0.44806205637195873,0.25337506718517816,1.0059333628041498
naive_1,PRIMARY,1.0,,14775,1.066593881568698,41.38366429780034,54863.860000000015,0.09570376330227531,0.1798719929375414,0.8816396421405553
naive_1,PRIMARY,2.0,,14484,3.7539492297685535,38.121351836509255,448506.13999999996,3.049298769466718,0.2975310715485388,1.8453652075082292
naive_1,PRIMARY,3.0,,15030,1.2768657615950294,48.63810978043912,75916.98999999999,0.13260153550352127,0.26653532226287646,0.914732504658486
seasonal_naive_12,PRIMARY,,,44289,1.3612678957455837,39.737755650387236,-480666.28,-0.3717817343791196,0.20329444497138702,0.982744443354623
seasonal_naive_12,PRIMARY,1.0,,14775,1.2241186763185419,47.495599999999996,-302771.41,-0.5281502861325496,0.2026042816155374,0.9834424601023541
seasonal_naive_12,PRIMARY,2.0,,14484,2.35860513590066,23.951633526650095,120708.91999999998,0.8206745201295494,0.20288881424252603,1.0637916127550997
seasonal_naive_12,PRIMARY,3.0,,15030,1.242372135707682,47.32418562874251,-298603.79000000004,-0.5215607344439107,0.2043343653250774,0.961223831445867
moving_average_3,PRIMARY,,,44289,1.2256356402158421,35.77841638631113,245333.6233333333,0.18975859921852703,0.4292895760220051,0.8157899820721909
moving_average_3,PRIMARY,1.0,,14775,0.9159286938857324,35.53788020304568,-57209.95333333334,-0.09979625626683118,0.3536746854998897,0.7256142229673002
moving_average_3,PRIMARY,2.0,,14484,2.9713834423598526,30.17439680567063,344358.7433333333,2.3412225578482353,0.47808196170641587,1.321447236533485
moving_average_3,PRIMARY,3.0,,15030,1.0872501869761022,41.415312042581505,-41815.16666666666,-0.07303708046559353,0.4390655783844638,0.7761760298584665
croston_sba,PRIMARY,,,44289,2.924026961014132,85.35738575417064,2717382.0590545237,2.101817949214149,0.9967434948939264,0.8444778149110738
croston_sba,PRIMARY,1.0,,14775,2.1672810041749324,84.09014064834405,767419.9026231116,1.3386767302573575,0.9961377179430589,0.7815811590901746
croston_sba,PRIMARY,2.0,,14484,8.371798538041086,85.01560837377511,1163346.074895536,7.9093449080605565,0.9971447766207592,1.4530035294467336
croston_sba,PRIMARY,3.0,,15030,2.2821841426998293,86.9324922090101,786616.0815358764,1.3739546347058849,0.9968102073365231,0.7511213745761959
tsb,PRIMARY,,,44289,2.2042474206157863,64.34578062641467,1785416.4931159473,1.3809690174225084,0.9967434948939264,0.8458332910574178
tsb,PRIMARY,1.0,,14775,1.622175039067796,62.94012032988487,457045.90492808324,0.7972645946441154,0.9961377179430589,0.775207999516575
tsb,PRIMARY,2.0,,14484,6.254451117054934,63.51394677551341,852197.2314348905,5.79390946388684,0.9971447766207592,1.4907359249328698
tsb,PRIMARY,3.0,,15030,1.7465495294890108,66.52920793031898,476173.3567529738,0.831715249396879,0.9968102073365231,0.7508700524735212
naive_1,PRIMARY,,,44289,1.465437996142898,42.77866038971302,579286.99,0.44806205637195873,0.25337506718517816,1.0059333628041498
naive_1,PRIMARY,1.0,,14775,1.066593881568698,41.38366429780034,54863.860000000015,0.09570376330227531,0.1798719929375414,0.8816396421405553
naive_1,PRIMARY,2.0,,14484,3.7539492297685535,38.121351836509255,448506.13999999996,3.049298769466718,0.2975310715485388,1.8453652075082292
naive_1,PRIMARY,3.0,,15030,1.2768657615950294,48.63810978043912,75916.98999999999,0.13260153550352127,0.26653532226287646,0.914732504658486
naive_1,PRIMARY,,regular,4049,1.150550251592464,122.58180044455422,235240.51,0.5453105894524866,0.8384781048097631,0.8715804922954299
naive_1,PRIMARY,,intermittent,34051,1.6183991983734916,38.307705794249806,339634.44999999995,0.42138723555220464,0.2566060606060606,1.0756907292213858
naive_1,PRIMARY,,very_sparse,6189,1.6916553138425166,15.167989982226532,4412.029999999999,0.07950635037338175,0.09022967553773241,1.0371878874376494
seasonal_naive_12,PRIMARY,,,44289,1.3612678957455837,39.737755650387236,-480666.28,-0.3717817343791196,0.20329444497138702,0.982744443354623
seasonal_naive_12,PRIMARY,1.0,,14775,1.2241186763185419,47.495599999999996,-302771.41,-0.5281502861325496,0.2026042816155374,0.9834424601023541
seasonal_naive_12,PRIMARY,2.0,,14484,2.35860513590066,23.951633526650095,120708.91999999998,0.8206745201295494,0.20288881424252603,1.0637916127550997
seasonal_naive_12,PRIMARY,3.0,,15030,1.242372135707682,47.32418562874251,-298603.79000000004,-0.5215607344439107,0.2043343653250774,0.961223831445867
seasonal_naive_12,PRIMARY,,regular,4049,0.9257686558452282,98.63314398616942,-297438.86,-0.689492469101838,0.135678391959799,0.8826789666808627
seasonal_naive_12,PRIMARY,,intermittent,34051,1.608384077987144,38.070646677043264,-136606.49,-0.16948878766447245,0.24703030303030302,1.0351345847636992
seasonal_naive_12,PRIMARY,,very_sparse,6189,1.1575604402733326,10.379103247697527,-46620.93,-0.8401257460427298,0.023149835946044476,0.9997026641294005
moving_average_3,PRIMARY,,,44289,1.2256356402158421,35.77841638631113,245333.6233333333,0.18975859921852703,0.4292895760220051,0.8157899820721909
moving_average_3,PRIMARY,1.0,,14775,0.9159286938857324,35.53788020304568,-57209.95333333334,-0.09979625626683118,0.3536746854998897,0.7256142229673002
moving_average_3,PRIMARY,2.0,,14484,2.9713834423598526,30.17439680567063,344358.7433333333,2.3412225578482353,0.47808196170641587,1.321447236533485
