threshold,wape,zero_false_positive_rate,mae,bias_ratio,horizon
0.0,0.852567679247145,1.0,33.079483427400554,-0.3097132501105348,1
0.05,0.8436668424893204,0.6027367027146325,32.73413244918794,-0.3190902669787768,1
0.1,0.8347678574747306,0.4244096225998676,32.388853318303276,-0.3303141543614648,1
0.15,0.8267790277479559,0.3393290664312514,32.078888060431275,-0.3423280167626965,1
0.2,0.8204795949453558,0.28073273008165966,31.83447112079355,-0.35504223534632917,1
0.25,0.8142826729977751,0.23063341425733833,31.594031585193388,-0.37169785841656733,1
0.3,0.8063464931150511,0.18936217170602515,31.28610913246886,-0.39020712044704664,1
0.35,0.8017378330345099,0.1541602295299051,31.107293891793294,-0.4084400404413412,1
0.4,0.7989175626799639,0.1227102184948135,30.997867873513577,-0.4318472849590543,1
0.45,0.7942806556098974,0.09446038402118738,30.8179566543666,-0.4622548254214004,1
0.5,0.7937395298647189,0.07272125358640477,30.796961065915983,-0.4945631197073124,1
0.55,0.7943380908775866,0.051754579563010376,30.82018513315124,-0.5305810045819184,1
0.6,0.7982362430020796,0.03674685499889649,30.971432783910796,-0.564778362620994,1
0.65,0.8029460234859143,0.025160008828073274,31.154171479329413,-0.6072877794126547,1
0.7,0.8134970310689754,0.016883690134628117,31.56354880969508,-0.6470176295984414,1
0.75,0.8298904629013174,0.010041933348046789,32.19961122422977,-0.6906256504968873,1
0.8,0.8484412987221931,0.004524387552416685,32.91938055285711,-0.7511166270967478,1
0.85,0.8795339466754297,0.0018759655705142353,34.12577009555163,-0.8228859442841939,1
0.9,0.9727118759645125,0.00011035091591260208,37.741058175014714,-0.9607102454737515,1
0.95,1.0,0.0,38.79983282571912,-1.0,1
0.0,1.483370010380182,1.0,15.063621431266858,0.5020864822321875,2
0.05,1.4640455124008027,0.6074067853543836,14.867381167628226,0.482103159834362,2
0.1,1.4376994531657974,0.4807692307692308,14.599836954286513,0.4516510716926529,2
0.15,1.408343335141118,0.3999832045683574,14.301725596013856,0.4164030002801641,2
0.2,1.3735865546441166,0.3349009069533087,13.948770514063481,0.3735254800385687,2
0.25,1.340034210758865,0.28426268055089016,13.60804648507386,0.3300643923210516,2
0.3,1.3029567985328663,0.23731944910984212,13.231525389517717,0.2789976761190777,2
0.35,1.2705807723340237,0.19768223043332214,12.902746865821431,0.22571740153643807,2
0.4,1.2268355985380133,0.1598925092374874,12.45851465612536,0.1600384129396098,2
0.45,1.1922914797805666,0.1289889150151159,12.107719153993333,0.09551517185853402,2
0.5,1.1530684116110879,0.10211622438696674,11.709408923812552,0.026547761774840285,2
0.55,1.119255510292107,0.08061807188444743,11.366038934263301,-0.04316115644025087,2
0.6,1.08823045711211,0.061051394020826336,11.050979540640657,-0.12721906460101592,2
0.65,1.0574072565674701,0.04400403090359422,10.737969960390702,-0.20876623733083144,2
0.7,1.0127267883745497,0.0282163251595566,10.28423983673975,-0.3140078969738186,2
0.75,0.9951801851839955,0.018307020490426602,10.106054093454146,-0.4074409835135493,2
0.8,0.9794749193091051,0.010245213301981861,9.946567129337817,-0.5164342935468281,2
0.85,0.9600126585488142,0.004114880752435338,9.748927884754137,-0.6404656665481048,2
0.9,0.9467950666974493,0.0004198857910648304,9.614703248629178,-0.7885700342568417,2
0.95,0.9771583693755127,0.0,9.923042566361572,-0.9729568340175724,2
0.0,0.9875208744219763,1.0,37.61644343929466,-0.41209871520966673,3
0.05,0.9788758144801044,0.691715920818088,37.28713758181283,-0.4209770340490601,3
0.1,0.9694215785243275,0.5165587766206962,36.927008756890125,-0.4328046011138183,3
0.15,0.9611126099223549,0.4332488976451825,36.610505222078345,-0.4464108690590725,3
0.2,0.9529967282291604,0.35810113519091846,36.30135671435616,-0.46410823612982205,3
0.25,0.9452109095969853,0.2945867342152172,36.00478090133626,-0.48763387136091624,3
0.3,0.9380178448728843,0.2361384745285674,35.730784149107905,-0.5155513198998753,3
0.35,0.9278070452491055,0.18463270475654375,35.34183645547797,-0.5482804104876349,3
0.4,0.9178367603644679,0.1398817900365888,34.9620504001643,-0.5810824986643502,3
0.45,0.9103354376690155,0.09925884229289803,34.67631154825543,-0.6201417211751625,3
0.5,0.9053135527137838,0.0698001688713763,34.48501893230167,-0.6623296714702717,3
0.55,0.9032247056481219,0.044563279857397504,34.405450996540516,-0.7040350310103498,3
0.6,0.9026477752103531,0.026737967914438502,34.38347468014777,-0.7437552367830855,3
0.65,0.9081739369589127,0.015855145886105638,34.59397610471032,-0.7844762021822845,3
0.7,0.9154424654116564,0.008255933952528379,34.87084740587606,-0.8309733119368509,3
0.75,0.9230605917748761,0.0028145229383619475,35.16103551923943,-0.8793803156861727,3
0.8,0.9813580402478922,0.00037526972511492634,37.38169001874456,-0.967638939174228,3
0.85,1.0,0.0,38.09179574184963,-1.0,3
0.9,1.0,0.0,38.09179574184963,-1.0,3
0.95,1.0,0.0,38.09179574184963,-1.0,3
