source_file,source_row_no,bravo_sku,base_sku,branch_code,month,mapping_status,branch_mapping_status,primary_exclusion_reason,secondary_flags
sales_monthly_by_sku_branch_202607161619.csv,13418,05.L2.8080.688001,05.L2.8080.688001,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13419,05.L2.8080.688001,05.L2.8080.688001,093,2025-02-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13420,05.L2.8080.688001,05.L2.8080.688001,093,2025-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13421,05.L2.8080.688002,05.L2.8080.688002,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13422,05.L2.8080.688002,05.L2.8080.688002,093,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13423,05.L2.8080.688003,05.L2.8080.688003,093,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13424,05.L2.8080.688004,05.L2.8080.688004,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13425,05.L2.8080.688004,05.L2.8080.688004,093,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13426,05.L2.8080.688005,05.L2.8080.688005,093,2024-11-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13427,05.L2.8080.688005,05.L2.8080.688005,093,2025-02-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13428,05.L2.8080.688005,05.L2.8080.688005,093,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13429,05.L2.8080.688005,05.L2.8080.688005,093,2025-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13430,05.L2.8080.688006,05.L2.8080.688006,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13431,05.L2.8080.688006,05.L2.8080.688006,093,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13432,05.L2.8080.688007,05.L2.8080.688007,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13433,05.L2.8080.688007,05.L2.8080.688007,093,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13434,05.L2.8080.IP8001,05.L2.8080.IP8001,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13435,05.L2.8080.IP8001,05.L2.8080.IP8001,093,2025-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13436,05.L2.8080.IP8001,05.L2.8080.IP8001,093,2025-08-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13437,05.L2.8080.IP8002,05.L2.8080.IP8002,093,2024-06-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13438,05.L2.8080.IP8002,05.L2.8080.IP8002,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13439,05.L2.8080.IP8002,05.L2.8080.IP8002,093,2025-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13440,05.L2.8080.IP8002,05.L2.8080.IP8002,093,2025-08-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13441,05.L2.8080.IP8003,05.L2.8080.IP8003,093,2024-11-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13442,05.L2.8080.IP8004,05.L2.8080.IP8004,093,2024-06-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13443,05.L2.8080.IP8004,05.L2.8080.IP8004,093,2024-11-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13444,05.L2.8080.IP8005,05.L2.8080.IP8005,093,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13445,05.L2.8080.IP8005,05.L2.8080.IP8005,093,2024-11-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13446,05.L2.8080.IP8006,05.L2.8080.IP8006,093,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13447,05.L2.8080.IP8006,05.L2.8080.IP8006,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13448,05.L2.8080.IP8006,05.L2.8080.IP8006,093,2025-02-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13449,05.L2.8080.IP8007,05.L2.8080.IP8007,093,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,13450,05.L2.8080.IP8008,05.L2.8080.IP8008,093,2024-11-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40227,10.L2.3060.4565,10.L2.3060.4565,072,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40228,10.L2.3060.4566,10.L2.3060.4566,072,2024-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40229,10.L2.3060.4606,10.L2.3060.4606,050,2024-07-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40230,10.L2.3060.4606,10.L2.3060.4606,065,2024-01-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40231,10.L2.3060.4606,10.L2.3060.4606,073,2024-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40232,10.L2.3060.4606,10.L2.3060.4606,073,2025-12-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40233,10.L3.3060.4621,10.L3.3060.4621,000,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40234,10.L3.3060.4623,10.L3.3060.4623,000,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40235,10.L3.3060.4624,10.L3.3060.4624,000,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40236,10.L3.3060.4626,10.L3.3060.4626,000,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40237,10.L3.3060.4631,10.L3.3060.4631,000,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40238,10.L3.3060.4633,10.L3.3060.4633,000,2024-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,40239,10.L3.3060.5067,10.L3.3060.5067,000,2024-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,63726,14.L2.3060.A36310,14.L2.3060.A36310,059,2025-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,63727,14.L2.3060.A36310,14.L2.3060.A36310,059,2025-06-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,63728,14.L3.3060.A36822D.8,14.L3.3060.A36822D,024,2024-01-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,63729,14.L3.3060.A36AG403,14.L3.3060.A36AG403,000,2024-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,63730,14.L3.6060.MS66199902,14.L3.6060.MS66199902,000,2024-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,63731,14.L3.8080.AF10888008,14.L3.8080.AF10888008,000,2024-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,103254,20.L2.100100.31105,20.L2.100100.31105,000,2024-12-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,108669,23.L2.100100.UT113005,23.L2.100100.UT113005,000,2026-06-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113321,25.L2.6060.FP96666,25.L2.6060.FP96666,049,2025-12-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113322,25.L2.6060.FP96666,25.L2.6060.FP96666,066,2025-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113323,25.L2.6060.FP96666,25.L2.6060.FP96666,067,2025-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113324,25.L2.6060.FP96666,25.L2.6060.FP96666,067,2025-04-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113325,25.L2.6060.FP96666,25.L2.6060.FP96666,067,2025-12-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113326,25.L2.6060.FP96666,25.L2.6060.FP96666,067,2026-01-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113327,25.L2.6060.FP96666,25.L2.6060.FP96666,071,2025-12-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113328,25.L2.6060.FP96666,25.L2.6060.FP96666,080,2025-05-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113329,25.L2.8080.FP18666,25.L2.8080.FP18666,067,2026-03-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113330,25.L2.8080.FP18666,25.L2.8080.FP18666,067,2026-06-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,113331,25.L2.8080.FP18666,25.L2.8080.FP18666,072,2025-10-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,151079,29.L2.8080.FPU188003,29.L2.8080.FPU188003,050,2024-12-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,151080,29.L2.8080.FPU188003,29.L2.8080.FPU188003,050,2025-08-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,151081,29.L2.8080.FPU8007,29.L2.8080.FPU8007,000,2024-01-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,151082,29.L2.8080.FPU8007,29.L2.8080.FPU8007,081,2024-01-01,MAPPED,MAPPED,NON_L1,
sales_monthly_by_sku_branch_202607161619.csv,151083,29.L2.8080.FPU8013,29.L2.8080.FPU8013,000,2024-01-01,MAPPED,MAPPED,NON_L1,
